"t","year","l","al","ga","sigma","rr","etree","cost1","pbacktime","partfract","forcoth","cpricebase"
"16",2025.0000000000,7947.3144083379,4.7782337761,0.0144401127,0.4729924767,0.7998515049,1.6896000000,0.0538602657,318.8396250000,1.0000000000,0.3250000000,1.3458683383
"17",2026.0000000000,8010.3512829188,4.8482429508,0.0143537315,0.4683466447,0.7880310393,1.6158531836,0.0530618753,317.2292414981,1.0000000000,0.3300000000,1.3727857051
"18",2027.0000000000,8072.0790679965,4.9188467562,0.0142678669,0.4637510226,0.7763852604,1.5453252315,0.0522758358,315.6269916623,1.0000000000,0.3350000000,1.4002414192
"19",2028.0000000000,8132.5115981392,4.9900440405,0.0141825160,0.4592050230,0.7649115866,1.4778756481,0.0515019482,314.0328344112,1.0000000000,0.3400000000,1.4282462476
"20",2029.0000000000,8191.6633544282,5.0618335763,0.0140976757,0.4547080656,0.7536074745,1.4133700704,0.0507400170,312.4467288712,1.0000000000,0.3450000000,1.4568111725
"21",2030.0000000000,8249.5494073664,5.1342140611,0.0140133429,0.4502595776,0.7424704182,1.3516800000,0.0499898500,310.8686343750,1.0000000000,0.3500000000,1.4859473960
"22",2031.0000000000,8306.1853622231,5.2071841177,0.0139295146,0.4458589933,0.7314979490,1.2926825469,0.0492512580,309.2985104607,1.0000000000,0.3550000000,1.5156663439
"23",2032.0000000000,8361.5873067861,5.2807422945,0.0138461877,0.4415057541,0.7206876345,1.2362601852,0.0485240552,307.7363168707,1.0000000000,0.3600000000,1.5459796708
"24",2033.0000000000,8415.7717614884,5.3548870661,0.0137633593,0.4371993083,0.7100370783,1.1823005185,0.0478080588,306.1820135509,1.0000000000,0.3650000000,1.5768992642
"25",2034.0000000000,8468.7556318689,5.4296168336,0.0136810264,0.4329391111,0.6995439195,1.1306960564,0.0471030889,304.6355606494,1.0000000000,0.3700000000,1.6084372495
"26",2035.0000000000,8520.5561633235,5.5049299253,0.0135991860,0.4287246247,0.6892058320,1.0813440000,0.0464089688,303.0969185156,1.0000000000,0.3750000000,1.6406059945
"27",2036.0000000000,8571.1908980982,5.5808245972,0.0135178352,0.4245553176,0.6790205242,1.0341460375,0.0457255247,301.5660476992,1.0000000000,0.3800000000,1.6734181144
"28",2037.0000000000,8620.6776344703,5.6572990332,0.0134369710,0.4204306653,0.6689857381,0.9890081481,0.0450525857,300.0429089489,1.0000000000,0.3850000000,1.7068864766
"29",2038.0000000000,8669.0343880635,5.7343513462,0.0133565906,0.4163501497,0.6590992494,0.9458404148,0.0443899836,298.5274632122,1.0000000000,0.3900000000,1.7410242062
"30",2039.0000000000,8716.2793552397,5.8119795779,0.0132766910,0.4123132590,0.6493588664,0.9045568451,0.0437375531,297.0196716332,1.0000000000,0.3950000000,1.7758446903
"31",2040.0000000000,8762.4308785046,5.8901817002,0.0131972693,0.4083194879,0.6397624299,0.8650752000,0.0430951318,295.5194955527,1.0000000000,0.4000000000,1.8113615841
"32",2041.0000000000,8807.5074138691,5.9689556151,0.0131183228,0.4043683374,0.6303078127,0.8273168300,0.0424625598,294.0268965067,1.0000000000,0.4050000000,1.8475888158
"33",2042.0000000000,8851.5275001009,6.0482991558,0.0130398485,0.4004593147,0.6209929189,0.7912065185,0.0418396797,292.5418362252,1.0000000000,0.4100000000,1.8845405921
"34",2043.0000000000,8894.5097298044,6.1282100871,0.0129618437,0.3965919328,0.6118156837,0.7566723318,0.0412263372,291.0642766319,1.0000000000,0.4150000000,1.9222314039
"35",2044.0000000000,8936.4727222631,6.2086861058,0.0128843055,0.3927657112,0.6027740726,0.7236454761,0.0406223800,289.5941798424,1.0000000000,0.4200000000,1.9606760320
"36",2045.0000000000,8977.4350979826,6.2897248420,0.0128072311,0.3889801750,0.5938660814,0.6920601600,0.0400276587,288.1315081639,1.0000000000,0.4250000000,1.9998895527
"37",2046.0000000000,9017.4154548672,6.3713238590,0.0127306178,0.3852348553,0.5850897353,0.6618534640,0.0394420263,286.6762240940,1.0000000000,0.4300000000,2.0398873437
"38",2047.0000000000,9056.4323459684,6.4534806544,0.0126544628,0.3815292891,0.5764430890,0.6329652148,0.0388653382,285.2282903196,1.0000000000,0.4350000000,2.0806850906
"39",2048.0000000000,9094.5042587413,6.5361926610,0.0125787633,0.3778630188,0.5679242256,0.6053378655,0.0382974520,283.7876697161,1.0000000000,0.4400000000,2.1222987924
"40",2049.0000000000,9131.6495957449,6.6194572470,0.0125035167,0.3742355928,0.5595312568,0.5789163809,0.0377382280,282.3543253463,1.0000000000,0.4450000000,2.1647447682
"41",2050.0000000000,9167.8866567272,6.7032717168,0.0124287202,0.3706465648,0.5512623219,0.5536481280,0.0371875285,280.9282204598,1.0000000000,0.4500000000,2.2080396636
"42",2051.0000000000,9203.2336220323,6.7876333121,0.0123543712,0.3670954941,0.5431155881,0.5294827712,0.0366452184,279.5093184917,1.0000000000,0.4550000000,2.2522004569
"43",2052.0000000000,9237.7085372706,6.8725392122,0.0122804669,0.3635819456,0.5350892494,0.5063721718,0.0361111644,278.0975830616,1.0000000000,0.4600000000,2.2972444660
"44",2053.0000000000,9271.3292991942,6.9579865353,0.0122070047,0.3601054891,0.5271815265,0.4842702924,0.0355852358,276.6929779732,1.0000000000,0.4650000000,2.3431893553
"45",2054.0000000000,9304.1136427204,7.0439723385,0.0121339819,0.3566657002,0.5193906665,0.4631331047,0.0350673038,275.2954672127,1.0000000000,0.4700000000,2.3900531425
"46",2055.0000000000,9336.0791290480,7.1304936192,0.0120613960,0.3532621594,0.5117149423,0.4429185024,0.0345572418,273.9050149483,1.0000000000,0.4750000000,2.4378542053
"47",2056.0000000000,9367.2431348121,7.2175473156,0.0119892443,0.3498944523,0.5041526526,0.4235862170,0.0340549253,272.5215855294,1.0000000000,0.4800000000,2.4866112894
"48",2057.0000000000,9397.6228422257,7.3051303076,0.0119175242,0.3465621698,0.4967021207,0.4050977375,0.0335602319,271.1451434851,1.0000000000,0.4850000000,2.5363435152
"49",2058.0000000000,9427.2352301568,7.3932394174,0.0118462332,0.3432649077,0.4893616953,0.3874162339,0.0330730410,269.7756535238,1.0000000000,0.4900000000,2.5870703855
"50",2059.0000000000,9456.0970660924,7.4818714106,0.0117753686,0.3400022668,0.4821297491,0.3705064837,0.0325932342,268.4130805323,1.0000000000,0.4950000000,2.6388117932
"51",2060.0000000000,9484.2248989409,7.5710229967,0.0117049279,0.3367738526,0.4750046789,0.3543348019,0.0321206950,267.0573895746,1.0000000000,0.5000000000,2.6915880291
"52",2061.0000000000,9511.6350526288,7.6606908305,0.0116349086,0.3335792756,0.4679849053,0.3388689736,0.0316553087,265.7085458911,1.0000000000,0.5050000000,2.7454197897
"53",2062.0000000000,9538.3436204453,7.7508715120,0.0115653081,0.3304181511,0.4610688722,0.3240781900,0.0311969625,264.3665148979,1.0000000000,0.5100000000,2.8003281854
"54",2063.0000000000,9564.3664600948,7.8415615881,0.0114961241,0.3272900988,0.4542550465,0.3099329871,0.0307455456,263.0312621857,1.0000000000,0.5150000000,2.8563347492
"55",2064.0000000000,9589.7191894135,7.9327575531,0.0114273538,0.3241947435,0.4475419178,0.2964051870,0.0303009489,261.7027535190,1.0000000000,0.5200000000,2.9134614441
"56",2065.0000000000,9614.4171827133,8.0244558493,0.0113589950,0.3211317140,0.4409279978,0.2834678415,0.0298630651,260.3809548352,1.0000000000,0.5250000000,2.9717306730
"57",2066.0000000000,9638.4755677142,8.1166528686,0.0112910451,0.3181006442,0.4344118205,0.2710951789,0.0294317886,259.0658322439,1.0000000000,0.5300000000,3.0311652865
"58",2067.0000000000,9661.9092230287,8.2093449525,0.0112235016,0.3151011720,0.4279919414,0.2592625520,0.0290070156,257.7573520255,1.0000000000,0.5350000000,3.0917885922
"59",2068.0000000000,9684.7327761646,8.3025283935,0.0111563622,0.3121329400,0.4216669373,0.2479463897,0.0285886440,256.4554806311,1.0000000000,0.5400000000,3.1536243641
"60",2069.0000000000,9706.9606020119,8.3961994358,0.0110896245,0.3091955949,0.4154354062,0.2371241496,0.0281765732,255.1601846811,1.0000000000,0.5450000000,3.2166968513
"61",2070.0000000000,9728.6068217838,8.4903542765,0.0110232860,0.3062887878,0.4092959667,0.2267742732,0.0277707046,253.8714309644,1.0000000000,0.5500000000,3.2810307884
"62",2071.0000000000,9749.6853023797,8.5849890659,0.0109573443,0.3034121741,0.4032472579,0.2168761431,0.0273709408,252.5891864378,1.0000000000,0.5550000000,3.3466514041
"63",2072.0000000000,9770.2096561431,8.6800999088,0.0108917970,0.3005654133,0.3972879388,0.2074100416,0.0269771862,251.3134182249,1.0000000000,0.5600000000,3.4135844322
"64",2073.0000000000,9790.1932409859,8.7756828654,0.0108266419,0.2977481690,0.3914166884,0.1983571118,0.0265893468,250.0440936153,1.0000000000,0.5650000000,3.4818561209
"65",2074.0000000000,9809.6491608536,8.8717339520,0.0107618765,0.2949601088,0.3856322054,0.1896993197,0.0262073300,248.7811800640,1.0000000000,0.5700000000,3.5514932433
"66",2075.0000000000,9828.5902665064,8.9682491421,0.0106974986,0.2922009045,0.3799332073,0.1814194186,0.0258310447,247.5246451903,1.0000000000,0.5750000000,3.6225231081
"67",2076.0000000000,9847.0291565924,9.0652243672,0.0106335058,0.2894702318,0.3743184308,0.1735009145,0.0254604015,246.2744567768,1.0000000000,0.5800000000,3.6949735703
"68",2077.0000000000,9864.9781789908,9.1626555178,0.0105698958,0.2867677702,0.3687866313,0.1659280333,0.0250953121,245.0305827692,1.0000000000,0.5850000000,3.7688730417
"69",2078.0000000000,9882.4494324043,9.2605384440,0.0105066663,0.2840932032,0.3633365826,0.1586856894,0.0247356899,243.7929912749,1.0000000000,0.5900000000,3.8442505025
"70",2079.0000000000,9899.4547681790,9.3588689570,0.0104438150,0.2814462181,0.3579670764,0.1517594557,0.0243814497,242.5616505624,1.0000000000,0.5950000000,3.9211355126
"71",2080.0000000000,9916.0057923350,9.4576428293,0.0103813398,0.2788265058,0.3526769226,0.1451355349,0.0240325075,241.3365290605,1.0000000000,0.6000000000,3.9995582228
"72",2081.0000000000,9932.1138677880,9.5568557963,0.0103192382,0.2762337611,0.3474649484,0.1388007316,0.0236887809,240.1175953574,1.0000000000,0.6050000000,4.0795493873
"73",2082.0000000000,9947.7901167452,9.6565035567,0.0102575082,0.2736676825,0.3423299984,0.1327424266,0.0233501885,238.9048182000,1.0000000000,0.6100000000,4.1611403751
"74",2083.0000000000,9963.0454232601,9.7565817738,0.0101961474,0.2711279719,0.3372709344,0.1269485515,0.0230166506,237.6981664931,1.0000000000,0.6150000000,4.2443631826
"75",2084.0000000000,9977.8904359305,9.8570860761,0.0101351536,0.2686143349,0.3322866349,0.1214075646,0.0226880886,236.4976092984,1.0000000000,0.6200000000,4.3292504462
"76",2085.0000000000,9992.3355707251,9.9580120583,0.0100745248,0.2661264807,0.3273759949,0.1161084279,0.0223644250,235.3031158340,1.0000000000,0.6250000000,4.4158354551
"77",2086.0000000000,10006.3910139263,10.0593552825,0.0100142586,0.2636641219,0.3225379260,0.1110405853,0.0220455840,234.1146554735,1.0000000000,0.6300000000,4.5041521642
"78",2087.0000000000,10020.0667251752,10.1611112788,0.0099543530,0.2612269746,0.3177713557,0.1061939413,0.0217314905,232.9321977450,1.0000000000,0.6350000000,4.5942352075
"79",2088.0000000000,10033.3724406078,10.2632755462,0.0098948057,0.2588147582,0.3130752273,0.1015588412,0.0214220709,231.7557123307,1.0000000000,0.6400000000,4.6861199117
"80",2089.0000000000,10046.3176760713,10.3658435539,0.0098356146,0.2564271955,0.3084484998,0.0971260517,0.0211172529,230.5851690659,1.0000000000,0.6450000000,4.7798423099
"81",2090.0000000000,10058.9117304096,10.4688107415,0.0097767776,0.2540640126,0.3038901476,0.0928867423,0.0208169652,229.4205379381,1.0000000000,0.6500000000,4.8754391561
"82",2091.0000000000,10071.1636888078,10.5721725209,0.0097182926,0.2517249390,0.2993991602,0.0888324682,0.0205211375,228.2617890866,1.0000000000,0.6550000000,4.9729479392
"83",2092.0000000000,10083.0824261877,10.6759242763,0.0096601574,0.2494097072,0.2949745421,0.0849551530,0.0202297009,227.1088928014,1.0000000000,0.6600000000,5.0724068980
"84",2093.0000000000,10094.6766106448,10.7800613657,0.0096023700,0.2471180530,0.2906153124,0.0812470730,0.0199425875,225.9618195225,1.0000000000,0.6650000000,5.1738550360
"85",2094.0000000000,10105.9547069189,10.8845791214,0.0095449282,0.2448497154,0.2863205048,0.0777008413,0.0196597304,224.8205398393,1.0000000000,0.6700000000,5.2773321367
"86",2095.0000000000,10116.9249798906,10.9894728513,0.0094878301,0.2426044365,0.2820891673,0.0743093939,0.0193810640,223.6850244897,1.0000000000,0.6750000000,5.3828787794
"87",2096.0000000000,10127.5954980981,11.0947378394,0.0094310736,0.2403819613,0.2779203619,0.0710659746,0.0191065236,222.5552443595,1.0000000000,0.6800000000,5.4905363550
"88",2097.0000000000,10137.9741372657,11.2003693471,0.0093746566,0.2381820379,0.2738131644,0.0679641224,0.0188360455,221.4311704813,1.0000000000,0.6850000000,5.6003470821
"89",2098.0000000000,10148.0685838395,11.3063626138,0.0093185771,0.2360044176,0.2697666644,0.0649976584,0.0185695671,220.3127740344,1.0000000000,0.6900000000,5.7123540237
"90",2099.0000000000,10157.8863385242,11.4127128579,0.0092628330,0.2338488544,0.2657799650,0.0621606731,0.0183070268,219.2000263433,1.0000000000,0.6950000000,5.8266011042
"91",2100.0000000000,10167.4347198162,11.5194152777,0.0092074224,0.2317151053,0.2618521822,0.0594475151,0.0180483639,218.0928988774,1.0000000000,0.7000000000,5.9431331263
"92",2101.0000000000,10176.7208675271,11.6264650524,0.0091523433,0.2296029301,0.2579824455,0.0568527797,0.0177935189,216.9913632505,1.0000000000,0.7000000000,6.0619957888
"93",2102.0000000000,10185.7517462950,11.7338573425,0.0090975936,0.2275120916,0.2541698971,0.0543712979,0.0175424329,215.8953912193,1.0000000000,0.7000000000,6.1832357046
"94",2103.0000000000,10194.5341490780,11.8415872913,0.0090431715,0.2254423553,0.2504136917,0.0519981267,0.0172950482,214.8049546835,1.0000000000,0.7000000000,6.3069004187
"95",2104.0000000000,10203.0747006268,11.9496500256,0.0089890749,0.2233934895,0.2467129968,0.0497285385,0.0170513080,213.7200256847,1.0000000000,0.7000000000,6.4330384271
"96",2105.0000000000,10211.3798609328,12.0580406562,0.0089353019,0.2213652652,0.2430669919,0.0475580121,0.0168111563,212.6405764055,1.0000000000,0.7000000000,6.5616991956
"97",2106.0000000000,10219.4559286487,12.1667542792,0.0088818506,0.2193574561,0.2394748688,0.0454822237,0.0165745381,211.5665791692,1.0000000000,0.7000000000,6.6929331795
"98",2107.0000000000,10227.3090444791,12.2757859767,0.0088287191,0.2173698387,0.2359358314,0.0434970384,0.0163413992,210.4980064388,1.0000000000,0.7000000000,6.8267918431
"99",2108.0000000000,10234.9451945378,12.3851308175,0.0087759054,0.2154021919,0.2324490949,0.0415985014,0.0161116863,209.4348308165,1.0000000000,0.7000000000,6.9633276800
"100",2109.0000000000,10242.3702136695,12.4947838583,0.0087234076,0.2134542974,0.2290138866,0.0397828308,0.0158853470,208.3770250426,1.0000000000,0.7000000000,7.1025942336
"101",2110.0000000000,10249.5897887346,12.6047401441,0.0086712239,0.2115259393,0.2256294450,0.0380464097,0.0156623295,207.3245619954,1.0000000000,0.7000000000,7.2446461183
"102",2111.0000000000,10256.6094618545,12.7149947095,0.0086193523,0.2096169044,0.2222950197,0.0363857790,0.0154425833,206.2774146900,1.0000000000,0.7000000000,7.3895390406
"103",2112.0000000000,10263.4346336158,12.8255425791,0.0085677910,0.2077269819,0.2190098716,0.0347976307,0.0152260581,205.2355562779,1.0000000000,0.7000000000,7.5373298214
"104",2113.0000000000,10270.0705662319,12.9363787687,0.0085165382,0.2058559635,0.2157732725,0.0332788011,0.0150127049,204.1989600460,1.0000000000,0.7000000000,7.6880764179
"105",2114.0000000000,10276.5223866608,13.0474982859,0.0084655919,0.2040036434,0.2125845049,0.0318262646,0.0148024752,203.1675994165,1.0000000000,0.7000000000,7.8418379462
"106",2115.0000000000,10282.7950896782,13.1588961308,0.0084149505,0.2021698181,0.2094428620,0.0304371277,0.0145953213,202.1414479455,1.0000000000,0.7000000000,7.9986747051
"107",2116.0000000000,10288.8935409038,13.2705672971,0.0083646119,0.2003542865,0.2063476473,0.0291086232,0.0143911965,201.1204793227,1.0000000000,0.7000000000,8.1586481992
"108",2117.0000000000,10294.8224797813,13.3825067728,0.0083145745,0.1985568500,0.2032981747,0.0278381045,0.0141900544,200.1046673709,1.0000000000,0.7000000000,8.3218211632
"109",2118.0000000000,10300.5865225109,13.4947095408,0.0082648364,0.1967773121,0.2002937682,0.0266230409,0.0139918498,199.0939860449,1.0000000000,0.7000000000,8.4882575865
"110",2119.0000000000,10306.1901649329,13.6071705798,0.0082153959,0.1950154787,0.1973337617,0.0254610117,0.0137965379,198.0884094311,1.0000000000,0.7000000000,8.6580227382
"111",2120.0000000000,10311.6377853629,13.7198848654,0.0081662511,0.1932711580,0.1944174992,0.0243497022,0.0136040746,197.0879117468,1.0000000000,0.7000000000,8.8311831930
"112",2121.0000000000,10316.9336473783,13.8328473703,0.0081174003,0.1915441604,0.1915443342,0.0232868985,0.0134144168,196.0924673397,1.0000000000,0.7000000000,9.0078068568
"113",2122.0000000000,10322.0819025548,13.9460530653,0.0080688417,0.1898342985,0.1887136298,0.0222704836,0.0132275218,195.1020506866,1.0000000000,0.7000000000,9.1879629940
"114",2123.0000000000,10327.0865931537,14.0594969203,0.0080205736,0.1881413871,0.1859247584,0.0212984327,0.0130433476,194.1166363938,1.0000000000,0.7000000000,9.3717222539
"115",2124.0000000000,10331.9516547595,14.1731739047,0.0079725942,0.1864652431,0.1831771019,0.0203688094,0.0128618530,193.1361991953,1.0000000000,0.7000000000,9.5591566989
"116",2125.0000000000,10336.6809188678,14.2870789883,0.0079249019,0.1848056856,0.1804700511,0.0194797617,0.0126829973,192.1607139532,1.0000000000,0.7000000000,9.7503398329
"117",2126.0000000000,10341.2781154235,14.4012071420,0.0078774948,0.1831625358,0.1778030060,0.0186295188,0.0125067406,191.1901556562,1.0000000000,0.7000000000,9.9453466296
"118",2127.0000000000,10345.7468753100,14.5155533385,0.0078303714,0.1815356169,0.1751753754,0.0178163869,0.0123330435,190.2244994195,1.0000000000,0.7000000000,10.1442535622
"119",2128.0000000000,10350.0907327882,14.6301125533,0.0077835298,0.1799247541,0.1725865767,0.0170387462,0.0121618673,189.2637204839,1.0000000000,0.7000000000,10.3471386334
"120",2129.0000000000,10354.3131278877,14.7448797646,0.0077369685,0.1783297749,0.1700360362,0.0162950475,0.0119931738,188.3077942154,1.0000000000,0.7000000000,10.5540814061
"121",2130.0000000000,10358.4174087482,14.8598499552,0.0076906856,0.1767505086,0.1675231884,0.0155838094,0.0118269255,187.3566961043,1.0000000000,0.7000000000,10.7651630342
"122",2131.0000000000,10362.4068339132,14.9750181120,0.0076446797,0.1751867863,0.1650474762,0.0149036151,0.0116630854,186.4104017648,1.0000000000,0.7000000000,10.9804662949
"123",2132.0000000000,10366.2845745757,15.0903792275,0.0075989489,0.1736384415,0.1626083510,0.0142531095,0.0115016173,185.4688869340,1.0000000000,0.7000000000,11.2000756208
"124",2133.0000000000,10370.0537167756,15.2059283002,0.0075534918,0.1721053091,0.1602052719,0.0136309969,0.0113424853,184.5321274718,1.0000000000,0.7000000000,11.4240771332
"125",2134.0000000000,10373.7172635512,15.3216603352,0.0075083065,0.1705872263,0.1578377063,0.0130360380,0.0111856542,183.6000993601,1.0000000000,0.7000000000,11.6525586759
"126",2135.0000000000,10377.2781370437,15.4375703448,0.0074633915,0.1690840321,0.1555051294,0.0124670475,0.0110310893,182.6727787017,1.0000000000,0.7000000000,11.8856098494
"127",2136.0000000000,10380.7391805549,15.5536533496,0.0074187453,0.1675955672,0.1532070240,0.0119228921,0.0108787565,181.7501417206,1.0000000000,0.7000000000,12.1233220464
"128",2137.0000000000,10384.1031605610,15.6699043784,0.0073743661,0.1661216743,0.1509428808,0.0114024876,0.0107286221,180.8321647606,1.0000000000,0.7000000000,12.3657884873
"129",2138.0000000000,10387.3727686801,15.7863184694,0.0073302523,0.1646621978,0.1487121978,0.0109047975,0.0105806532,179.9188242850,1.0000000000,0.7000000000,12.6131042570
"130",2139.0000000000,10390.5506235963,15.9028906709,0.0072864025,0.1632169840,0.1465144806,0.0104288304,0.0104348172,179.0100968761,1.0000000000,0.7000000000,12.8653663422
"131",2140.0000000000,10393.6392729400,16.0196160412,0.0072428150,0.1617858808,0.1443492420,0.0099736380,0.0102910820,178.1059592342,1.0000000000,0.7000000000,13.1226736690
"132",2141.0000000000,10396.6411951251,16.1364896502,0.0071994882,0.1603687379,0.1422160019,0.0095383136,0.0101494160,177.2063881776,1.0000000000,0.7000000000,13.3851271424
"133",2142.0000000000,10399.5588011437,16.2535065790,0.0071564206,0.1589654069,0.1401142876,0.0091219901,0.0100097883,176.3113606416,1.0000000000,0.7000000000,13.6528296853
"134",2143.0000000000,10402.3944363197,16.3706619212,0.0071136106,0.1575757410,0.1380436331,0.0087238380,0.0098721682,175.4208536779,1.0000000000,0.7000000000,13.9258862790
"135",2144.0000000000,10405.1503820211,16.4879507833,0.0070710568,0.1561995949,0.1360035794,0.0083430643,0.0097365257,174.5348444542,1.0000000000,0.7000000000,14.2044040045
"136",2145.0000000000,10407.8288573315,16.6053682850,0.0070287574,0.1548368251,0.1339936743,0.0079789104,0.0096028312,173.6533102533,1.0000000000,0.7000000000,14.4884920846
"137",2146.0000000000,10410.4320206833,16.7229095601,0.0069867112,0.1534872899,0.1320134722,0.0076306509,0.0094710554,172.7762284732,1.0000000000,0.7000000000,14.7782619263
"138",2147.0000000000,10412.9619714504,16.8405697569,0.0069449164,0.1521508490,0.1300625342,0.0072975921,0.0093411697,171.9035766256,1.0000000000,0.7000000000,15.0738271648
"139",2148.0000000000,10415.4207515040,16.9583440387,0.0069033717,0.1508273637,0.1281404278,0.0069790704,0.0092131458,171.0353323360,1.0000000000,0.7000000000,15.3753037081
"140",2149.0000000000,10417.8103467303,17.0762275844,0.0068620755,0.1495166970,0.1262467269,0.0066744514,0.0090869559,170.1714733428,1.0000000000,0.7000000000,15.6828097823
"141",2150.0000000000,10420.1326885111,17.1942155891,0.0068210263,0.1482187134,0.1243810117,0.0063831283,0.0089625727,169.3119774970,1.0000000000,0.7000000000,15.9964659780
"142",2151.0000000000,10422.3896551692,17.3123032645,0.0067802226,0.1469332790,0.1225428687,0.0061045207,0.0088399691,168.4568227614,1.0000000000,0.7000000000,16.3163952975
"143",2152.0000000000,10424.5830733775,17.4304858393,0.0067396631,0.1456602614,0.1207318903,0.0058380737,0.0087191185,167.6059872099,1.0000000000,0.7000000000,16.6427232035
"144",2153.0000000000,10426.7147195338,17.5487585600,0.0066993462,0.1443995296,0.1189476752,0.0055832563,0.0085999950,166.7594490276,1.0000000000,0.7000000000,16.9755776675
"145",2154.0000000000,10428.7863211017,17.6671166911,0.0066592705,0.1431509541,0.1171898278,0.0053395612,0.0084825727,165.9171865092,1.0000000000,0.7000000000,17.3150892209
"146",2155.0000000000,10430.7995579180,17.7855555158,0.0066194345,0.1419144071,0.1154579584,0.0051065027,0.0083668263,165.0791780596,1.0000000000,0.7000000000,17.6613910053
"147",2156.0000000000,10432.7560634673,17.9040703363,0.0065798368,0.1406897621,0.1137516832,0.0048836166,0.0082527309,164.2454021923,1.0000000000,0.7000000000,18.0146188254
"148",2157.0000000000,10434.6574261250,18.0226564743,0.0065404760,0.1394768939,0.1120706238,0.0046704589,0.0081402619,163.4158375297,1.0000000000,0.7000000000,18.3749112019
"149",2158.0000000000,10436.5051903691,18.1413092715,0.0065013506,0.1382756789,0.1104144077,0.0044666051,0.0080293952,162.5904628019,1.0000000000,0.7000000000,18.7424094260
"150",2159.0000000000,10438.3008579606,18.2600240901,0.0064624593,0.1370859948,0.1087826677,0.0042716489,0.0079201070,161.7692568465,1.0000000000,0.7000000000,19.1172576145
"151",2160.0000000000,10440.0458890952,18.3787963130,0.0064238006,0.1359077209,0.1071750421,0.0040852021,0.0078123737,160.9521986081,1.0000000000,0.7000000000,19.4996027668
"152",2161.0000000000,10441.7417035244,18.4976213446,0.0063853732,0.1347407374,0.1055911744,0.0039068933,0.0077061725,160.1392671375,1.0000000000,0.7000000000,19.8895948221
"153",2162.0000000000,10443.3896816490,18.6164946107,0.0063471757,0.1335849264,0.1040307137,0.0037363671,0.0076014805,159.3304415914,1.0000000000,0.7000000000,20.2873867185
"154",2163.0000000000,10444.9911655839,18.7354115594,0.0063092067,0.1324401709,0.1024933140,0.0035732841,0.0074982753,158.5257012318,1.0000000000,0.7000000000,20.6931344529
"155",2164.0000000000,10446.5474601960,18.8543676612,0.0062714648,0.1313063554,0.1009786345,0.0034173191,0.0073965351,157.7250254253,1.0000000000,0.7000000000,21.1069971420
"156",2165.0000000000,10448.0598341152,18.9733584097,0.0062339486,0.1301833659,0.0994863394,0.0032681617,0.0072962380,156.9283936429,1.0000000000,0.7000000000,21.5291370848
"157",2166.0000000000,10449.5295207187,19.0923793215,0.0061966569,0.1290710892,0.0980160979,0.0031255146,0.0071973628,156.1357854591,1.0000000000,0.7000000000,21.9597198265
"158",2167.0000000000,10450.9577190908,19.2114259370,0.0061595883,0.1279694138,0.0965675842,0.0029890937,0.0070998884,155.3471805517,1.0000000000,0.7000000000,22.3989142230
"159",2168.0000000000,10452.3455949571,19.3304938204,0.0061227414,0.1268782292,0.0951404770,0.0028586272,0.0070037942,154.5625587010,1.0000000000,0.7000000000,22.8468925075
"160",2169.0000000000,10453.6942815939,19.4495785606,0.0060861150,0.1257974263,0.0937344601,0.0027338553,0.0069090597,153.7818997897,1.0000000000,0.7000000000,23.3038303576
"161",2170.0000000000,10455.0048807149,19.5686757709,0.0060497076,0.1247268972,0.0923492218,0.0026145294,0.0068156649,153.0051838018,1.0000000000,0.7000000000,23.7699069648
"162",2171.0000000000,10456.2784633340,19.6877810898,0.0060135180,0.1236665352,0.0909844550,0.0025004117,0.0067235901,152.2323908226,1.0000000000,0.7000000000,24.2453051041
"163",2172.0000000000,10457.5160706052,19.8068901810,0.0059775449,0.1226162346,0.0896398571,0.0023912750,0.0066328158,151.4635010379,1.0000000000,0.7000000000,24.7302112062
"164",2173.0000000000,10458.7187146410,19.9259987341,0.0059417871,0.1215758912,0.0883151302,0.0022869018,0.0065433228,150.6984947335,1.0000000000,0.7000000000,25.2248154303
"165",2174.0000000000,10459.8873793087,20.0451024645,0.0059062431,0.1205454018,0.0870099805,0.0021870843,0.0064550923,149.9373522950,1.0000000000,0.7000000000,25.7293117389
"166",2175.0000000000,10461.0230210058,20.1641971141,0.0058709117,0.1195246643,0.0857241187,0.0020916235,0.0063681057,149.1800542068,1.0000000000,0.7000000000,26.2438979737
"167",2176.0000000000,10462.1265694150,20.2832784513,0.0058357917,0.1185135779,0.0844572598,0.0020003294,0.0062823447,148.4265810520,1.0000000000,0.7000000000,26.7687759332
"168",2177.0000000000,10463.1989282387,20.4023422712,0.0058008818,0.1175120428,0.0832091229,0.0019130200,0.0061977914,147.6769135119,1.0000000000,0.7000000000,27.3041514518
"169",2178.0000000000,10464.2409759146,20.5213843964,0.0057661807,0.1165199603,0.0819794315,0.0018295214,0.0061144279,146.9310323652,1.0000000000,0.7000000000,27.8502344809
"170",2179.0000000000,10465.2535663114,20.6404006767,0.0057316872,0.1155372330,0.0807679128,0.0017496674,0.0060322368,146.1889184876,1.0000000000,0.7000000000,28.4072391705
"171",2180.0000000000,10466.2375294065,20.7593869897,0.0056974001,0.1145637642,0.0795742983,0.0016732988,0.0059512010,145.4505528516,1.0000000000,0.7000000000,28.9753839539
